group,label,name,step,size_x_mm,size_y_mm,size_z_mm
assembly,wheel_rear,Body060,step/assembly/wheel_rear__Body060.step,70.0,70.0,62.0
ungrouped,M12x10-ThreadedRod,ThreadedRod,step/ungrouped/M12x10-ThreadedRod__ThreadedRod.step,15.729134,17.641731,11.549981
assembly,wheel_front,Body068,step/assembly/wheel_front__Body068.step,60.0,60.0,37.0
assembly,lipo,Body086,step/assembly/lipo__Body086.step,140.0,47.0,25.0
assembly,motor,Body090,step/assembly/motor__Body090.step,42.0,42.0,87.0
ungrouped,Fusion,Fusion,step/ungrouped/Fusion__Fusion.step,8.0,8.0,36.0
ungrouped,Fusion001,Fusion001,step/ungrouped/Fusion001__Fusion001.step,16.0,3.0,31.0
optionals,collar_wheel_3.50mm,Body099,step/optionals/collar_wheel_3.50mm__Body099.step,16.0,16.0,3.5
ungrouped,Fillet006,Fillet006,step/ungrouped/Fillet006__Fillet006.step,16.0,3.0,31.0
ungrouped,Fusion002,Fusion002,step/ungrouped/Fusion002__Fusion002.step,16.0,8.0,36.0
assembly,dogbone,Fillet007,step/assembly/dogbone__Fillet007.step,16.0,8.0,36.0
assembly,pivot_ball,Fusion003,step/assembly/pivot_ball__Fusion003.step,8.0,8.0,22.0
belt,shim_rear,Body130,step/belt/shim_rear__Body130.step,11.383822,13.5,11.383822
transmission,pinion,Body133,step/transmission/pinion__Body133.step,20.90224,20.973876,18.0
optionals,plate_wheel,Body136,step/optionals/plate_wheel__Body136.step,16.0,16.0,5.0
old,esc_holder_light,Body139,step/old/esc_holder_light__Body139.step,130.0,55.0,3.0
central,lipo_link,Body002,step/central/lipo_link__Body002.step,14.722749,50.0,5.0
front,servo_arms_nylon,Body162,step/front/servo_arms_nylon__Body162.step,26.0,20.0,5.5
transmission,stop_wheel,Body168,step/transmission/stop_wheel__Body168.step,9.1,25.0,9.105958
transmission,spur_49t,Body171,step/transmission/spur_49t__Body171.step,50.992737,50.966538,18.0
transmission,shaft_rear,Body172,step/transmission/shaft_rear__Body172.step,11.5,11.504798,219.8
shims,shim_left_metal,Body174,step/shims/shim_left_metal__Body174.step,14.0,14.0,2.8
shims,shim_right_metal,Body176,step/shims/shim_right_metal__Body176.step,14.0,14.0,1.4
shims,shim_rear_metal,Body177,step/shims/shim_rear_metal__Body177.step,11.383822,16.5,11.383822
bodyshell,rear_body_holder,Body178,step/bodyshell/rear_body_holder__Body178.step,8.0,80.0,8.0
bodyshell,tower_body,Body180,step/bodyshell/tower_body__Body180.step,8.659138,20.329569,30.0
rear,esc_holder_rear,Body181,step/rear/esc_holder_rear__Body181.step,70.0,88.0,12.0
bodyshell,bumper,Body186,step/bodyshell/bumper__Body186.step,260.0,44.0,8.0
bodyshell,towers_holder,Body188,step/bodyshell/towers_holder__Body188.step,94.0,12.0,3.0
bodyshell,bodyshell_rear_holder,Body198,step/bodyshell/bodyshell_rear_holder__Body198.step,220.0,18.0,14.0
front,balestra_holder_down,Body202,step/front/balestra_holder_down__Body202.step,30.0,4.4,7.0
assembly,front_tire,Body213,step/assembly/front_tire__Body213.step,30.0,55.0,55.0
backup,shaft_rear_metal_backup,Body214,step/backup/shaft_rear_metal_backup__Body214.step,11.5,11.504798,219.8
shims,shim_rear0_12_5mm,Body223,step/shims/shim_rear0_12_5mm__Body223.step,11.383822,13.5,11.383822
shims,shim_rear0_13_5mm,Body224,step/shims/shim_rear0_13_5mm__Body224.step,11.383822,14.5,11.383822
backup,shaft_carbon_fiber_filler,Body225,step/backup/shaft_carbon_fiber_filler__Body225.step,9.0,9.0,11.0
belt,front_belt_holder,Body228,step/belt/front_belt_holder__Body228.step,10.5,14.0,17.0
transmission,spur_holder,Body229,step/transmission/spur_holder__Body229.step,30.5,30.5,16.0
bodyshell,bumper_holder,Body230,step/bodyshell/bumper_holder__Body230.step,83.161336,45.0,14.0
chassis,chassis_4mm,Body234,step/chassis/chassis_4mm__Body234.step,361.473012,90.008158,4.0
rear,rear_tower_right,Body235,step/rear/rear_tower_right__Body235.step,93.0,50.0,9.0
optionals,fan_support,Body238,step/optionals/fan_support__Body238.step,49.0,48.0,5.0
transmission,pulley_rear,Body246,step/transmission/pulley_rear__Body246.step,34.0,34.0,21.0
optionals,turnbuckle_4mm,Body247,step/optionals/turnbuckle_4mm__Body247.step,10.2,41.201286,5.0
ungrouped,drive_train_petcf,Body251,step/ungrouped/drive_train_petcf__Body251.step,20.002596,19.002562,30.0
ungrouped,pulley_petcf,Body252,step/ungrouped/pulley_petcf__Body252.step,30.0,30.0,11.0
old,pulley_front,Fusion004,step/old/pulley_front__Fusion004.step,30.0,30.0,30.0
transmission,shaft_front_hollow_petcf,Body253,step/transmission/shaft_front_hollow_petcf__Body253.step,12.003721,11.6,90.0
front,tower_bearing_plug,Body,step/front/tower_bearing_plug__Body.step,20.1,19.5,12.0
front,tower_right,Body255,step/front/tower_right__Body255.step,40.0,38.0,30.0
central,lipo_holder_flex,Body256,step/central/lipo_holder_flex__Body256.step,162.0,8.0,27.0
