group,label,name,stl,triangles,size_x_mm,size_y_mm,size_z_mm
assembly,wheel_rear,Body060,stl/assembly/wheel_rear__Body060.stl,312,70.0,69.804266,62.0
ungrouped,M12x10-ThreadedRod,ThreadedRod,stl/ungrouped/M12x10-ThreadedRod__ThreadedRod.stl,6646,11.829967,11.828814,10.0
assembly,wheel_front,Body068,stl/assembly/wheel_front__Body068.stl,300,59.902719,59.95134,37.0
assembly,lipo,Body086,stl/assembly/lipo__Body086.stl,300,140.0,47.0,25.0
assembly,motor,Body090,stl/assembly/motor__Body090.stl,572,42.0,42.0,87.0
ungrouped,Fusion,Fusion,stl/ungrouped/Fusion__Fusion.stl,1328,7.965168,7.988675,36.0
ungrouped,Fusion001,Fusion001,stl/ungrouped/Fusion001__Fusion001.stl,280,16.0,3.0,31.0
optionals,collar_wheel_3.50mm,Body099,stl/optionals/collar_wheel_3.50mm__Body099.stl,288,16.0,16.0,3.5
ungrouped,Fillet006,Fillet006,stl/ungrouped/Fillet006__Fillet006.stl,2440,16.0,3.0,31.0
ungrouped,Fusion002,Fusion002,stl/ungrouped/Fusion002__Fusion002.stl,3972,16.0,7.988675,36.0
assembly,dogbone,Fillet007,stl/assembly/dogbone__Fillet007.stl,4118,16.0,7.999931,36.0
assembly,pivot_ball,Fusion003,stl/assembly/pivot_ball__Fusion003.stl,680,7.96003,7.999994,22.0
belt,shim_rear,Body130,stl/belt/shim_rear__Body130.stl,600,11.383822,13.5,11.383822
transmission,pinion,Body133,stl/transmission/pinion__Body133.stl,5480,20.90224,20.973876,18.0
optionals,plate_wheel,Body136,stl/optionals/plate_wheel__Body136.stl,436,16.0,16.0,5.0
old,esc_holder_light,Body139,stl/old/esc_holder_light__Body139.stl,1286,130.0,55.0,3.0
central,lipo_link,Body002,stl/central/lipo_link__Body002.stl,776,14.722749,50.0,5.0
front,servo_arms_nylon,Body162,stl/front/servo_arms_nylon__Body162.stl,640,26.0,20.0,5.5
transmission,stop_wheel,Body168,stl/transmission/stop_wheel__Body168.stl,460,9.1,25.0,9.1
transmission,spur_49t,Body171,stl/transmission/spur_49t__Body171.stl,14180,50.992737,50.966538,18.0
